wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,bplace_continent,birthdate,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,dplace_continent,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,region,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi,occupation_rank,occupation_rank_unique,birthyear_rank,birthyear_rank_unique,bplace_country_rank,bplace_country_rank_unique,bplace_name_rank,bplace_name_rank_unique,deathyear_rank,deathyear_rank_unique,dplace_country_rank,dplace_country_rank_unique,dplace_name_rank,dplace_name_rank_unique,id
q710266,10809677,Arthur_Samuel,Arthur Samuel,COMPUTER SCIENTIST,2.7927023800572,M,,False,16,19.0923485275161,"Emporia, Kansas",38.40388889,-96.18166667,114705,United States,,1901-12-05,1901,"Stanford, California",37.4225,-122.16527778,108166,United States,,1990-07-29,1990,,,,False,3.1959287571339,118,6446,2.68886985427154,44.8916356792853,99,99,182,182,5586,5586,2,2,176,176,3842,3842,17,17,10809677
q335047,3965,Bill_Joy,Bill Joy,COMPUTER SCIENTIST,3.55677150749532,M,,True,26,18.9661794723713,"Farmington Hills, Michigan",42.48527778,-83.37694444,118331,United States,,1954-11-08,1954,,,,,,,,,United States,,,False,3.87756841841872,65,18971,3.48086493807764,44.4717852926052,102,102,226,226,5753,5753,1,1,,,,,,,3965
q92820,307669,Raj_Reddy,Raj Reddy,COMPUTER SCIENTIST,14.5692729267065,M,,True,24,18.5381443671637,Andhra Pradesh,16.5,80.64,2377,India,,1937-06-13,1937,,,,,,,,,,,,False,2.45111362405549,82,5367,3.96635918258158,43.0474209409194,119,119,316,316,455,455,1,1,,,,,,,307669
q92819,15590926,Edmund_M._Clarke,Edmund M. Clarke,COMPUTER SCIENTIST,37.2433601577899,M,,True,19,17.7605152533944,"Newport News, Virginia",37.07083333,-76.48444444,91277,United States,,1945-07-27,1945,,,,,,,,,United States,,,False,4.13460205110331,74,2246,2.82576095360558,40.4597191963424,137,137,378,378,7362,7362,4,4,,,,,,,15590926
q3567326,430503,Werner_Koch,Werner Koch,COMPUTER SCIENTIST,2.79639064426817,M,,True,15,15.7380769606795,,,,,,,1961-07-11,1961,,,,,,,,,,,,False,4.62509550538312,58,2431,2.04636685409308,33.7296894100475,171,171,452,452,,,,,,,,,,,430503
q312405,32493,Vernor_Vinge,Vernor Vinge,COMPUTER SCIENTIST,3.82118900898945,M,,True,30,20.9960616460632,"Waukesha, Wisconsin",43.01166667,-88.23166667,236130,United States,,1944-10-02,1944,,,,,,,,,United States,,,False,4.60207965417702,75,19397,3.39272270399312,51.2265859413195,54,54,199,199,3092,3092,2,2,,,,,,,32493
q92743,32433,Vint_Cerf,Vint Cerf,COMPUTER SCIENTIST,0,M,vgcerf,True,47,23.2276300569174,"New Haven, Connecticut",41.31,-72.92361111,53825,United States,,1943-06-23,1943,,,,,,,,,United States,,,False,5.02483379944341,76,72543,4.56011767457089,58.6525340799116,18,18,72,72,1308,1308,5,5,,,,,,,32433
q15737800,41995116,Jan_Koum,Jan Koum,COMPUTER SCIENTIST,3.7852231455582,M,jankoum,True,25,18.8672810351784,,,,,,,1976-02-24,1976,,,,,,,,,,,,False,5.64441989421441,43,135935,2.55964853174169,44.142682827267,106,106,114,114,,,,,,,,,,,41995116
q11755,2179138,Daphne_Koller,Daphne Koller,COMPUTER SCIENTIST,4.33894132633011,,,True,22,14.6435020437844,,,,,,,1968-08-27,1968,,,,,,,,,,,,False,2.36914707965846,51,6767,3.64978655169545,30.0872930904314,179,179,498,498,,,,,,,,,,,2179138
q92824,699964,Judea_Pearl,Judea Pearl,COMPUTER SCIENTIST,2.27828385393526,M,,True,22,19.8717975020615,Tel Aviv,32.06666667,34.78333333,31453,Israel,,,1936,,,,,,,,,,,,False,2.88179179328265,83,15079,3.44075164499746,47.4853933402648,84,84,254,254,198,198,20,20,,,,,,,699964
q7439,3434143,Richard_Stallman,Richard Stallman,COMPUTER SCIENTIST,0,M,,True,103,25.5147541473617,New York City,40.661,-73.944,645042,United States,,1953-03-16,1953,,,,,,,,,United States,,,False,9.19711795042489,66,190187,5.05533592295335,66.2633538063222,4,4,6,6,414,414,29,29,,,,,,,3434143
q92609,11652,Fred_Brooks,Fred Brooks,COMPUTER SCIENTIST,0,M,,True,33,21.2486781456372,"Durham, North Carolina",35.98861111,-78.90722222,150834,United States,,1931-04-19,1931,,,,,,,,,,,,False,4.6124770762029,88,10920,3.78079428083938,52.0672131054543,46,46,166,166,2854,2854,1,1,,,,,,,11652
