wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,bplace_continent,birthdate,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,dplace_continent,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,region,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi,occupation_rank,occupation_rank_unique,birthyear_rank,birthyear_rank_unique,bplace_country_rank,bplace_country_rank_unique,bplace_name_rank,bplace_name_rank_unique,deathyear_rank,deathyear_rank_unique,dplace_country_rank,dplace_country_rank_unique,dplace_name_rank,dplace_name_rank_unique,id
q237429,934118,Laskarina_Bouboulina,Laskarina Bouboulina,MILITARY PERSONNEL,4.08256088041831,F,,False,20,22.6364518995918,Constantinople,41.01388889,28.95555556,3391396,Turkey,,1771-05-11,1771,Spetses,37.25,23.13333333,1057236,Greece,,1825-05-22,1825,Ottoman,,,False,3.5312306187705,248,73381,2.88297856317799,56.6852816687306,554,554,15,15,459,459,89,89,13,13,185,185,1,1,934118
q294781,46732,Narses,Narses,MILITARY PERSONNEL,0,M,,False,38,26.1056589381258,Constantinople,41.01388889,28.95555556,3391396,Turkey,,0478-01-01,478,Rome,41.88333333,12.5,25458,Italy,,0574-01-01,574,Eastern Roman Empire,Eastern Roman Empire,,False,10.3554119024255,1541,35648,2.24537465463789,68.2296965407493,108,108,1,1,154,154,26,26,1,1,449,449,213,213,46732
q924251,3568338,Süleyman_Hüsnü_Pasha,Süleyman Hüsnü Pasha,MILITARY PERSONNEL,1.16757918844417,M,,False,16,22.0495197452447,Constantinople,41.01388889,28.95555556,3391396,Turkey,,1838-01-01,1838,,,,,,,1892-08-08,1892,Ottoman,,,False,6.62531636643703,181,12238,1.5522073817751,54.7321586016293,674,674,34,34,546,546,106,106,31,31,,,,,3568338
q530014,545585,Mundus_(general),Mundus,MILITARY PERSONNEL,1.20426463498754,M,,False,18,19.5223290911343,Byzantine Empire,41,28.96666667,3391396,Turkey,,,450,,,,,,,0536-01-01,536,,,,False,3.32686366916833,1569,2772,2.92323525061016,46.3224738962543,1099,1099,27,27,768,768,52,52,4,4,,,,,545585
q203636,80475,Stilicho,Stilicho,MILITARY PERSONNEL,0,M,,False,46,26.3089312981154,Constantinople,41.01388889,28.95555556,3391396,Turkey,,0359-01-01,359,Ravenna,44.4177777778,12.1994444444,,Italy,,0408-08-22,408,Rome,,,False,8.26431099071475,1660,59740,2.8659315771997,68.9061221416629,97,97,2,2,136,136,20,20,2,2,410,410,7,7,80475
q313838,5054349,Thomas_the_Slav,Thomas the Slav,MILITARY PERSONNEL,7.5674169817068,M,,False,29,23.1464312270856,Byzantine Empire,41,28.96666667,3391396,Turkey,,0800-01-01,800,Bergule,41.41621,27.36121,14908942,Turkey,,0823-01-01,823,,,,False,7.17060519769258,1219,8054,2.73178934600975,58.3823302643744,461,461,14,14,406,406,25,25,1,1,316,316,1,1,5054349
q531278,5529871,Gainas,Gainas,MILITARY PERSONNEL,45.049733699478,M,,False,18,21.1727960958083,Byzantine Empire,41,28.96666667,3391396,Turkey,,0400-01-01,400,,,,,,,,401,,,,False,5.57062171426692,1619,3748,2.127251004205,51.8147018385182,871,871,44,44,656,656,45,45,6,6,,,,,5529871
q744590,3235626,Bardas_Skleros,Bardas Skleros,MILITARY PERSONNEL,9.81979620763958,M,,False,16,22.4224309736847,Byzantine Empire,41,28.96666667,3391396,Turkey,,1000-01-01,1000,,,,,,,0991-04-02,991,,,,False,6.98017486188904,1019,7429,1.49920218342123,55.9730882676099,597,597,20,20,493,493,36,36,1,1,,,,,3235626
q289677,1130557,Tatikios,Tatikios,MILITARY PERSONNEL,1.00398955333079,M,,False,21,20.6903076334325,Byzantine Empire,41,28.96666667,3391396,Turkey,,1100-01-01,1100,,,,,,,,1099,,,,False,5.28213023124319,919,2337,2.62981015024129,50.2091340765599,964,964,58,58,706,706,49,49,5,5,,,,,1130557
q878539,25820000,Vitalian_(general),Vitalian,MILITARY PERSONNEL,14.6444371161703,M,,False,16,20.9684185418774,,,,,,,0500-01-01,500,Constantinople,41.01388889,28.95555556,3391396,Turkey,,0520-07-01,520,,Eastern Roman Empire,,False,6.17787694119477,1519,2670,1.80657745637669,51.1345985045574,911,911,35,35,,,,,2,2,506,506,166,166,25820000
q930358,19237311,Alexios_Apokaukos,Alexios Apokaukos,MILITARY PERSONNEL,1.41194294400124,,,False,15,21.5455716399594,,,,,,,,,Constantinople,41.01388889,28.95555556,3391396,Turkey,,1345-06-11,1345,,Byzantium,,False,5.84843657208669,769,5782,1.73026499474684,53.0551799904481,787,787,,,,,,,5,5,458,458,151,151,19237311
q560045,2527591,Omar_Pasha,Omar Pasha,MILITARY PERSONNEL,5.37781797838286,M,,False,20,23.2692580411681,Janja Gora,45.09361111,15.39916667,10500050,Croatia,,1806-11-24,1806,Constantinople,41.01224,28.976018,3391396,Turkey,,1871-04-18,1871,,,,False,7.80746958086127,213,18402,1.68192299289456,58.7910587384684,438,438,12,12,43,43,1,1,10,10,312,312,99,99,2527591
q1293376,25811025,Justinian_(general),Justinian,MILITARY PERSONNEL,21.1193268041734,M,,False,15,21.2267536130318,Constantinople,41.01388889,28.95555556,3391396,Turkey,,0525-01-01,525,Constantinople,41.01388889,28.95555556,3391396,Turkey,,0582-01-01,582,Eastern Roman Empire,Eastern Roman Empire,,False,7.58994208421661,1494,1978,1.37125772394379,51.9942552515526,858,858,5,5,652,652,122,122,3,3,487,487,159,159,25811025
q1281522,11288760,Leo_Phokas_the_Elder,Leo Phokas the Elder,MILITARY PERSONNEL,41.3792029008892,M,,False,18,20.9030419113794,,,,,,,0801-01-01,801,Constantinople,41.01388889,28.95555556,3391396,Turkey,,0901-01-01,901,,Eastern Roman Empire,,False,6.42103704495759,1218,1921,1.89715270485375,50.9170459235152,922,922,7,7,,,,,6,6,511,511,169,169,11288760
q314828,879355,Vetranio,Vetranio,MILITARY PERSONNEL,83.3711645185405,M,,False,33,22.1353899194626,Serbia,44,21,29265,Serbia,,,300,Bithynia,40.5,31,77427,,,0356-01-01,356,,,,False,8.67589141728352,110,4231,2.50827399731485,55.0179071618313,6306,6306,37,37,77,77,2,2,2,2,,,4,4,879355
q57259,1441176,Hans-Joachim_Marseille,Hans-Joachim Marseille,MILITARY PERSONNEL,1.15256987361679,M,,False,25,23.1039505854197,Berlin,52,31,3354,Germany,,1919-12-13,1919,Sidi Abdel Rahman,30.96666667,28.73333333,1668720,Egypt,,1942-09-30,1942,Germany,,,False,5.74320258252734,100,41965,2.21744219588021,58.2409682338083,468,468,50,50,162,162,82,82,42,42,137,137,1,1,1441176
q61030,1329864,Karl_von_Bülow,Karl von Bülow,MILITARY PERSONNEL,9.9536710519629,M,,False,23,22.8469324558921,Berlin,52,31,3354,Germany,,1846-03-24,1846,Berlin,52.51666667,13.38888889,3354,Germany,,1921-08-31,1921,Prussia,Germany,,False,8.07206475669852,173,11438,1.94038251257475,57.385693848642,511,511,21,21,179,179,94,94,30,30,1032,1032,136,136,1329864
q63965,560168,Ludwig_Adolf_Wilhelm_von_Lützow,Ludwig Adolf Wilhelm von Lützow,MILITARY PERSONNEL,2.05312435382182,M,,False,15,21.2142520120221,Berlin,52.51666667,13.38888889,3354,Germany,,1782-05-18,1782,Berlin,52.51666667,13.38888889,3354,Germany,,1834-12-06,1834,Prussia,Prussia,,False,4.76533214070568,237,12151,1.96230782512184,51.9526539095119,863,863,22,22,2096,2096,168,168,20,20,,,232,232,560168
q48041,727550,Dmitry_Yazov,Dmitry Yazov,MILITARY PERSONNEL,0,M,,True,31,23.1351022675927,Omsk Oblast,56.21666667,73.26666667,62593,Russia,,1924-11-08,1924,Moscow,55.75,37.61666667,19004,Russia,,2020-02-25,2020,,,,False,3.18817449114938,95,172318,4.03011059247565,58.3446310994063,1000,1000,67,67,396,396,1,1,6,6,99,99,12,12,727550
q153545,247386,Albrecht_von_Wallenstein,Albrecht von Wallenstein,MILITARY PERSONNEL,0,M,,False,43,27.2611781846035,Heřmanice (Náchod District),50.37944444,15.92055556,23626252,Czechia,,1583-09-24,1583,Cheb,50.07944444,12.37055556,237656,Czechia,,1634-02-25,1634,,,,False,8.42170348699563,436,178658,2.71873608108445,72.0748961571947,50,50,2,2,15,15,1,1,1,1,15,15,1,1,247386
