wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,bplace_continent,date,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,dplace_continent,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,region,is_group,l_,age,non_en_page_views,coefficient_of_variation,value,occupation_rank,occupation_rank_unique,birthyear_rank,birthyear_rank_unique,bplace_country_rank,bplace_country_rank_unique,bplace_name_rank,bplace_name_rank_unique,deathyear_rank,deathyear_rank_unique,dplace_country_rank,dplace_country_rank_unique,dplace_name_rank,dplace_name_rank_unique,id
q1276,19965375,Leonard_Cohen,Leonard Cohen,MUSICIAN,0,M,,FALSE,104,28.093704584515,"Westmount, Quebec",45.48333333,-73.6,7954681,Canada,,1934-09-21,1934,Los Angeles,34.05,-118.25,18110,United States,,2016-11-07,2016,,,,FALSE,7.24870218698341,85,624873,5.51086323690442,74.8452785661235,134,134,5,5,1,1,1,1,10,10,79,79,10,10,19965375
q710695,248612,Bobbejaan_Schoepen,Bobbejaan Schoepen,MUSICIAN,3.94399911356329,M,,FALSE,19,20.9157115689297,"Boom, Belgium",51.08333333,4.36666667,514508,Belgium,,,1925,Turnhout,51.3166666667,4.93333333333,9420,Belgium,,2010-05-17,2010,,,,FALSE,4.19902408201956,94,15994,2.22583921517384,50.9592065041383,1027,1027,166,166,323,323,1,1,126,126,243,243,1,1,248612
q706082,655081,Theodor_Kullak,Theodor Kullak,MUSICIAN,2.21220946291309,M,,FALSE,16,20.1357782602655,Krotoszyn,51.68333333,17.43333333,74615,Poland,,1818-09-12,1818,Berlin,52,31,3354,Germany,,1882-03-01,1882,,Germany,,FALSE,5.95472964841128,201,2442,1.82918276360857,48.363837133641,844,844,62,62,608,608,1,1,52,52,191,191,303,303,655081
q28561969,53039739,XXXTentacion,XXXTentacion,MUSICIAN,1.89178084302476,M,xxxtentacion,FALSE,46,19.7919937753851,"Plantation, Florida",26.12444444,-80.24944444,109063,United States,,1998-01-23,1998,"Deerfield Beach, Florida",26.31805556,-80.09972222,109026,United States,,2018-06-18,2018,,,,FALSE,6.40885631484896,21,3048664,3.78870175213304,47.2198319832018,951,951,3,3,4556,4556,1,1,221,221,3275,3275,1,1,53039739
q68543,248213,Clarence_Clemons,Clarence Clemons,MUSICIAN,3.97848928906851,M,,FALSE,27,20.9140236866286,"Norfolk County, Virginia",36.7706,-76.4644,1426257,United States,,1942-01-11,1942,"Palm Beach, Florida",26.7,-80.0333333333,53846,United States,,2011-06-18,2011,,,,FALSE,3.12485117036724,77,40129,3.72352638719641,50.9535897700196,750,750,210,210,3189,3189,1,1,139,139,2412,2412,5,5,248213
q313668,22003,Neil_Peart,Neil Peart,MUSICIAN,11.3997540981545,M,Praetorianx1,TRUE,27,19.5523586845401,"Hamilton, Ontario",43.25666667,-79.86916667,14288,Canada,,1952-09-12,1952,"Santa Monica, California",34.02194444,-118.48138889,28208,United States,,2020-01-07,2020,Canada,,,TRUE,2.69444114264482,67,56964,3.97456790999377,46.4224028082115,1023,1023,244,244,257,257,7,7,12,12,99,99,44,44,22003
q445829,353831,Manu_Dibango,Manu Dibango,MUSICIAN,3.1355340423048,M,,TRUE,23,21.5104044701341,Douala,4.05000019,9.69999981,19997263,Cameroon,,1933-12-12,1933,Paris,48.8567,2.3508,22989,France,,3030-03-24,2020,,,,FALSE,3.59057948893622,86,34742,2.68062013589681,52.9381548622765,522,522,135,135,6,6,2,2,9,9,99,99,99,99,353831
q453147,3988826,Håkan_Hardenberger,Håkan Hardenberger,MUSICIAN,2.26434382764159,M,,TRUE,15,14.8891350586135,Malmö,55.60583333,13.03583333,19021,Sweden,,1961-10-27,1961,,,,,,,,,Sweden,,,FALSE,3.42152755226336,58,1760,1.89496266655484,30.9046814440104,14030,14030,486,486,798,798,20,20,,,,,,,3988826
q526545,732898,Dan_Swanö,Dan Swanö,MUSICIAN,2.33844621796545,M,,TRUE,15,15.7333705503874,,,,,,,,,,,,,,,,,,,,TRUE,4.80160707045019,46,12072,2.07727339656263,33.7140279772283,1961,1961,,,,,,,,,,,,,732898
q238290,846771,Mitsuko_Uchida,Mitsuko Uchida,MUSICIAN,6.55242387594546,F,,TRUE,19,21.3285736857901,,,,,,,1948-12-20,1948,,,,,,,,,,,,FALSE,5.41719987582882,71,45429,1.84640755057848,52.3330799884926,561,561,142,142,,,,,,,,,,,846771
q713202,267187,Peter_Erskine,Peter Erskine,MUSICIAN,15.2309563355724,,,TRUE,17,15.9815210768843,,,,,,,,,,,,,,,,,,,,FALSE,1.6478607418843,65,11507,3.22443001738385,34.5397938069325,1912,1912,,,,,,,,,,,,,267187
q17306112,43153797,Tyler_Joseph,Tyler Joseph,MUSICIAN,2.62262114335902,M,tylerrjoseph,TRUE,29,18.0105591286839,,,,,,,,,,,,,,,,,,,,FALSE,5.15153590321282,31,319805,2.80159026629842,41.2917854871365,1466,1466,,,,,,,,,,,,,43153797
q3414998,34137442,R3hab,R3hab,MUSICIAN,4.19452594063508,,R3HAB,TRUE,19,16.684679875511,,,,,,,,,,,,,,,,,,,,FALSE,6.4231184961691,33,59897,1.77107080022332,36.8796820874792,1778,1778,,,,,,,,,,,,,34137442
