wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,bplace_continent,birthdate,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,dplace_continent,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,region,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi,occupation_rank,occupation_rank_unique,birthyear_rank,birthyear_rank_unique,bplace_country_rank,bplace_country_rank_unique,bplace_name_rank,bplace_name_rank_unique,deathyear_rank,deathyear_rank_unique,dplace_country_rank,dplace_country_rank_unique,dplace_name_rank,dplace_name_rank_unique,id
q237429,934118,Laskarina_Bouboulina,Laskarina Bouboulina,MILITARY PERSONNEL,4.08256088041831,F,,False,20,22.6364518995918,Constantinople,41.01388889,28.95555556,3391396,Turkey,,1771-05-11,1771,Spetses,37.25,23.13333333,1057236,Greece,,1825-05-22,1825,Ottoman,,,False,3.5312306187705,248,73381,2.88297856317799,56.6852816687306,554,554,15,15,459,459,89,89,13,13,185,185,1,1,934118
q119431,4673561,Irene_Angelina,Irene Angelina,COMPANION,1.11627202881908,F,,False,24,23.1748944232445,Constantinople,41.01361111,28.955,3391396,Turkey,,1181-01-01,1181,Hohenstaufen Castle,48.7431,9.71639,28565,Germany,,,1208,,,,False,7.27523569877916,838,9209,2.14040346751388,58.4770467057376,300,300,2,2,400,400,79,79,3,3,905,905,1,1,4673561
q259213,3440480,Irene_Palaiologina_of_Trebizond,Irene Palaiologina of Trebizond,POLITICIAN,75.8429751834816,F,,False,23,21.8320807386467,Constantinople,41.01388889,28.95555556,3391396,Turkey,,1315-01-01,1315,,,,,,,,1341,Byzantium,,,False,6.88268492726186,704,2958,2.16427651535193,54.0085909178202,7024,7024,8,8,571,571,109,109,7,7,,,,,3440480
q240407,14728582,Anna_of_Savoy,Anna of Savoy,POLITICIAN,12.224940715353,F,,False,22,23.1731614354503,Byzantine Empire,41,28.96666667,3391396,Turkey,,1306-01-01,1306,Thessaloniki,40.65,22.9,40471,Greece,,,1365,,,,False,9.2240303016312,713,5589,1.75768114476921,58.4712798749193,4179,4179,3,3,402,402,23,23,2,2,163,163,10,10,14728582
q253401,25261598,Tuba_Büyüküstün,Tuba Büyüküstün,ACTOR,80.3045481510103,F,TubaBustun,True,30,19.8137859348296,Istanbul,41.01361084,28.95499992,3391396,Turkey,,1982-07-05,1982,,,,,,,,,,,,False,7.9834752645951,37,219790,1.96111063305368,47.2923493414308,2795,2795,43,43,753,753,54,54,,,,,,,25261598
q298189,17503352,Roza_Eskenazi,Roza Eskenazi,SINGER,4.79903147594853,F,,False,17,20.9514974695708,Constantinople,41.01388889,28.95555556,3391396,Turkey,,1895-01-01,1895,Athens,37.98397222,23.72780556,1216,,,1980-12-02,1980,Ottoman,Greece,,False,5.40190656487923,124,8773,1.90592107090549,51.0782905711834,554,554,117,117,684,684,130,130,113,113,,,97,97,17503352
q193534,235460,Sertab_Erener,Sertab Erener,SINGER,0,F,sertaberener,True,43,21.6388917380989,Istanbul,41.01361084,28.95499992,3391396,Turkey,,1964-12-04,1964,,,,,,,,,,,,False,10.9982247654521,55,34163,2.41948465676713,53.3657195220625,440,440,64,64,596,596,34,34,,,,,,,235460
q2746974,22395539,Saliha_Sultan_(wife_of_Mustafa_II),Saliha Sultan,POLITICIAN,18.8396361966346,F,,False,15,21.5963434047265,Constantinople,41.01388889,28.95555556,3391396,Turkey,,1680-01-01,1680,,,,,,,1739-09-21,1739,Ottoman,,,False,5.87865838308579,339,7275,1.57961944519313,53.2241322350809,7574,7574,9,9,602,602,114,114,9,9,,,,,22395539
q232223,423749,Eudokia_Makrembolitissa,Eudokia Makrembolitissa,POLITICIAN,6.77641446282149,F,,False,30,24.0699356535247,Byzantine Empire,41,28.96666667,3391396,Turkey,,1021-01-01,1021,,,,,,,1096-01-01,1096,,,,False,9.69080469381689,998,7813,2.05700383803881,61.4554585373597,2806,2806,3,3,315,315,19,19,1,1,,,,,423749
q2461901,14628237,Theophano_Martinakia,Theophano Martinakia,POLITICIAN,8.2087493451034,F,,False,16,20.8121598732566,,,,,,,0865-01-01,865,Constantinople,41.01388889,28.95555556,3391396,,,0893-11-10,893,,Eastern Roman Empire,,False,5.96945227553064,1154,2289,1.69061165182526,50.6146194782639,9317,9317,3,3,,,,,3,3,,,171,171,14628237
