wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,bplace_continent,birthdate,birthyear,birth_decade,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,dplace_continent,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,region,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi,occupation_rank,occupation_rank_unique,birthyear_rank,birthyear_rank_unique,bplace_country_rank,bplace_country_rank_unique,bplace_name_rank,bplace_name_rank_unique,deathyear_rank,deathyear_rank_unique,dplace_country_rank,dplace_country_rank_unique,dplace_name_rank,dplace_name_rank_unique,id
q298226,1873,Anthemius_of_Tralles,Anthemius of Tralles,MATHEMATICIAN,0,M,,False,35,24.4996666881636,Aydın,37.84805556,27.84527778,13000,Turkey,,0474-01-01,474,470,Constantinople,41.01388889,28.95555556,3391396,Turkey,,,534,,Eastern Roman Empire,,False,9.87873133353211,1545,10321,2.50083756725554,62.8854664014477,112,112,1,1,280,280,1,1,3,3,242,242,80,80,1873
q1932828,3130668,Mihailo_Petrović,Mihailo Petrović,MATHEMATICIAN,3.73718329758937,M,,False,16,20.5142944269483,Belgrade,44.81666667,20.46666667,55904,Serbia,,1868-05-06,1868,1860,Belgrade,44.81666667,20.46666667,55904,Serbia,,1943-06-08,1943,Austria,Serbia,,False,3.38266607373126,151,17818,2.39978272988049,49.6234182469662,488,488,106,106,120,120,27,27,99,99,,,58,58,3130668
q460044,24938673,Vera_T._Sós,Vera T. Sós,MATHEMATICIAN,260.700643212116,F,,True,16,19.5295620822183,Budapest,47,29,36787,Hungary,,,,,,,,,,,,,,,,False,5.70417699205597,89,2329,1.63080502263151,46.3465429843519,601,601,,,44,44,159,159,,,,,,,24938673
q465715,614988,Alfréd_Rényi,Alfréd Rényi,MATHEMATICIAN,57.0183836386519,M,,False,18,19.9434133871707,Budapest,47,29,36787,Hungary,,1921-03-20,1921,1920,Budapest,47.4983333333,19.0408333333,36787,Hungary,,1970-02-01,1970,Hungary,,,False,4.9701701786994,98,5025,2.39593594324984,47.7237081712749,559,559,209,209,40,40,142,142,130,130,184,184,127,127,614988
q315436,488196,Joseph_Bertrand,Joseph Bertrand,MATHEMATICIAN,0,M,,False,28,22.7296967878026,Paris,48.8567,2.3508,22989,France,,1822-03-11,1822,1820,Budapest,47,29,36787,Hungary,,1900-04-05,1900,France,Austria,,False,7.76490415493746,197,7985,2.29397570858964,56.9955709256827,234,234,26,26,1540,1540,348,348,26,26,5,5,34,34,488196
q19063,614998,Pál_Turán,Pál Turán,MATHEMATICIAN,47.6228638902509,M,,False,16,17.9261910338035,Budapest,47.4925,19.05138889,36787,Hungary,,1910-08-18,1910,1910,Budapest,47,29,36787,Hungary,,1976-09-26,1976,Austria,Hungary,,False,3.31592616737075,109,1754,2.38740425250924,41.0110353680335,702,702,232,232,394,394,185,185,166,166,19,19,167,167,614998
q11740,25568315,Katherine_Johnson,Katherine Johnson,MATHEMATICIAN,2.76038708697298,F,,True,33,24.3535206100061,"White Sulphur Springs, West Virginia",38.15805556,-80.18083333,27422265,United States,,1918-08-26,1918,1910,"Newport News, Virginia",37.07083333,-76.48444444,91277,United States,,2020-02-24,2020,,,,False,3.69381949976075,101,341609,3.75596174572958,62.3991388518294,119,119,30,30,866,899,1,1,3,3,999,999,13,13,25568315
q129916,216328,Harold_Scott_MacDonald_Coxeter,Harold Scott MacDonald Coxeter,MATHEMATICIAN,5.41738390998164,M,,False,21,19.8631862383973,London,51.50722222,-0.1275,17867,United Kingdom,,1907-02-09,1907,1900,Toronto,43.74166667,-79.37333333,64646,Canada,,2003-03-31,2003,United Kingdom,,,False,4.59371671939484,112,4155,2.748300398644,47.4567378004807,572,572,173,173,2533,2533,251,251,161,161,86,86,21,21,216328
q548184,499223,Gregorio_Ricci-Curbastro,Gregorio Ricci-Curbastro,MATHEMATICIAN,73.7763677475691,M,,False,25,21.5966232044399,"Lugo, Emilia-Romagna",44.41666667,11.91666667,6534731,Italy,,1853-01-12,1853,1850,Bologna,44.5075,11.35138889,21069333,Italy,,1925-08-06,1925,,Italy,,False,5.14505111533845,166,9677,2.67039388561036,53.2250633193133,351,351,42,42,1899,1899,2,2,62,62,1834,1834,43,43,499223
q723627,856523,Marston_Morse,Marston Morse,MATHEMATICIAN,92.6577005295349,M,,False,17,18.2574078849456,"Waterville, Maine",44.55194444,-69.64583333,116028,United States,,1892-03-24,1892,1890,"Princeton, New Jersey",40.357115,-74.670165,84658,United States,,1977-06-22,1977,United States,United States,,False,3.53139592441329,127,1992,2.78331332701616,42.1132194405654,690,690,188,188,6715,6715,2,2,154,154,4349,4349,39,39,856523
q441143,245430,Jean_Leray,Jean Leray,MATHEMATICIAN,47.8520199819636,M,,False,20,19.9374190197704,Nantes,47.2181,-1.5528,67453,France,,1906-11-07,1906,1900,La Baule-Escoublac,47.2867,-2.3908,383012,France,,1998-11-10,1998,,,,False,5.027223334537,113,3625,2.4338641932067,47.7037608278632,560,560,185,185,2950,2950,13,13,147,147,3010,3010,2,2,245430
q2383111,426368,Abu'l-Hasan_al-Uqlidisi,Abu'l-Hasan al-Uqlidisi,MATHEMATICIAN,7.65648277185566,M,,False,15,17.4306515703462,,,,,,,,,,,,,,,,,,,,,False,3.14068054649316,110,1147,2.03381395873361,39.362038035771,721,721,,,,,,,,,,,,,426368
q164428,61633,René_Thom,René Thom,MATHEMATICIAN,0,M,,False,36,23.1614489614993,Montbéliard,47.51,6.8,213548,France,,1923-09-02,1923,1920,Bures-sur-Yvette,48.6969,2.1639,1017816,France,,2002-10-25,2002,France,,,False,7.01851038404755,96,19311,2.89678738752721,58.4323044961176,197,197,61,61,1342,1342,2,2,41,41,1380,1380,1,1,61633
q1627897,1192944,Horace_Lamb,Horace Lamb,MATHEMATICIAN,9.48695585877978,M,,False,16,18.6418477142021,Stockport,53.4083,-2.1494,300827,United Kingdom,,1849-11-27,1849,1840,Cambridge,52.20527778,0.11916667,36995,United Kingdom,,1934-12-04,1934,United Kingdom,United Kingdom,,False,3.69529600656648,170,2196,2.50062155612291,43.3925126141836,664,664,72,72,3245,3245,7,7,102,102,2158,2158,84,84,1192944
